Fecha,TOTAL,CORTOPLAZO,LARGOPLAZO,CP,LP
01/06/2009,2676.5,474.8,2201.7,0.177395853,0.822604147
01/07/2009,2725.6,489.6,2236,0.179630173,0.820369827
01/08/2009,2748.1,508.9,2239.1,0.18518249,0.814781122
01/09/2009,2790,517.7,2272.2,0.185555556,0.814408602
01/10/2009,2795.1,532.1,2263,0.19036886,0.80963114
01/11/2009,2824.9,530.4,2294.5,0.187758859,0.812241141
01/12/2009,2747.1,519,2228.2,0.188926504,0.811109898
01/01/2010,2759.7,511.8,2247.8,0.185454941,0.814508823
01/02/2010,2808.1,514.6,2293.5,0.183255582,0.816744418
01/03/2010,2884,523.7,2360.3,0.181588072,0.818411928
01/04/2010,2916.7,538.8,2377.9,0.184729317,0.815270683
01/05/2010,2928.9,529.4,2399.5,0.180750452,0.819249548
01/06/2010,2955.7,546,2409.7,0.184727814,0.815272186
01/07/2010,2981.4,512.6,2468.9,0.171932649,0.828100892
01/08/2010,2939.2,502,2437.2,0.170794774,0.829205226
01/09/2010,2991.8,508.6,2483.2,0.169997995,0.830002005
01/10/2010,2968.4,472,2496.4,0.15900822,0.84099178
01/11/2010,3012.4,462.9,2549.6,0.153664852,0.846368344
01/12/2010,3051.6,565.1,2486.5,0.185181544,0.814818456
01/01/2011,3076.2,571,2505.2,0.18561862,0.81438138
01/02/2011,3118.8,543.8,2575,0.174361934,0.825638066
01/03/2011,3184.3,544.9,2639.4,0.171120811,0.828879189
01/04/2011,3242.5,548.4,2694.2,0.169128759,0.830902082
01/05/2011,3318,570.3,2747.7,0.171880651,0.828119349
01/06/2011,3420.5,643.7,2776.8,0.188188861,0.811811139
01/07/2011,3479.5,641.8,2837.6,0.184451789,0.815519471
01/08/2011,3551.5,650.6,2900.9,0.183190201,0.816809799
01/09/2011,3629.5,641.9,2987.6,0.176856316,0.823143684
01/10/2011,3716,673.3,3042.7,0.181189451,0.818810549
01/11/2011,3787,681.8,3105.2,0.180036969,0.819963031
01/12/2011,3760.8,705.6,3055.1,0.187619655,0.812353755
01/01/2012,3830.8,717.7,3113.1,0.187349901,0.812650099
01/02/2012,3900.5,721.4,3179.1,0.184950647,0.815049353
01/03/2012,3985.5,735.4,3250.1,0.184518881,0.815481119
01/04/2012,4056.7,749.3,3307.4,0.184706781,0.815293219
01/05/2012,4129.5,753.1,3376.4,0.182370747,0.817629253
01/06/2012,4136.6,845.9,3290.7,0.204491611,0.795508389
01/07/2012,4221.7,857.6,3364.1,0.203140915,0.796859085
01/08/2012,4272.9,857.8,3415.1,0.200753587,0.799246413
01/09/2012,4351.1,849.5,3501.7,0.195237986,0.804784997
01/10/2012,4377.4,831.1,3546.2,0.189861562,0.810115594
01/11/2012,4467.5,837,3630.6,0.187353106,0.812669278
01/12/2012,4371.3,822.6,3548.7,0.188182005,0.811817995
01/01/2013,4466.7,843.5,3623.2,0.188841874,0.811158126
01/02/2013,4537.7,825.2,3712.5,0.181854243,0.818145757
01/03/2013,4606.1,841.8,3764.3,0.182757647,0.817242353
01/04/2013,4683,844.4,3838.6,0.180311766,0.819688234
01/05/2013,4752.4,841.2,3911.3,0.177005303,0.823015739
01/06/2013,4759.9,860.3,3899.6,0.180739091,0.819260909
01/07/2013,4753.1,846.5,3906.5,0.178094296,0.821884665
01/08/2013,4846.4,835.9,4010.4,0.172478541,0.827500825
01/09/2013,4878.1,835,4043.1,0.171173203,0.828826797
01/10/2013,4934.3,811,4123.3,0.164359686,0.835640314
01/11/2013,5001.3,821.7,4179.6,0.164297283,0.835702717
01/12/2013,5050.9,964,4086.8,0.190857075,0.809123127
01/01/2014,5108.9,944.4,4164.5,0.184853882,0.815146118
01/02/2014,5193.6,967.5,4226.1,0.186286969,0.813713031
01/03/2014,5269.5,955.9,4313.7,0.18140241,0.818616567
01/04/2014,5327.1,932.2,4394.9,0.174992022,0.825007978
01/05/2014,5370.8,946.6,4424.1,0.176249348,0.823732032
01/06/2014,5410.7,959.8,4450.9,0.177389247,0.822610753
01/07/2014,5486.7,978.6,4508.1,0.178358576,0.821641424
01/08/2014,5485.3,914.7,4570.7,0.166754781,0.83326345
01/09/2014,5547.1,932.3,4614.7,0.168069802,0.83191217
01/10/2014,5633.7,964.2,4669.5,0.171148623,0.828851377
01/11/2014,5769.4,1030.9,4738.6,0.178684092,0.821333241
01/12/2014,5673.5,1020.7,4652.8,0.179906583,0.820093417
01/01/2015,5708.7,1016.1,4692.6,0.177991487,0.822008513
01/02/2015,5777.3,1010.2,4767,0.174856767,0.825125924
01/03/2015,5873.3,1039.5,4833.8,0.176987384,0.823012616
01/04/2015,5903.6,1038.8,4864.8,0.175960431,0.824039569
01/05/2015,5964.7,1054.6,4910.1,0.17680688,0.82319312
01/06/2015,5943.3,1037.5,4905.8,0.174566318,0.825433682
01/07/2015,5975.4,1027.6,4947.8,0.171971751,0.828028249
01/08/2015,6016.1,1045,4971.1,0.17370057,0.82629943
01/09/2015,6025,993.1,5031.9,0.164829876,0.835170124
01/10/2015,5977.9,902.5,5075.4,0.15097275,0.84902725
01/11/2015,5990.7,855.3,5135.4,0.142771296,0.857228704
01/12/2015,6035.8,873,5162.9,0.144636999,0.855379569
01/01/2016,6018.5,834.2,5184.3,0.138605965,0.861394035
01/02/2016,6076,824.4,5251.6,0.135681369,0.864318631
01/03/2016,6014.5,722.4,5292.1,0.120109735,0.879890265
01/04/2016,6012.7,687.4,5325.3,0.114324679,0.885675321
01/05/2016,5942,683.5,5258.5,0.11502861,0.88497139
01/06/2016,5780.1,743.5,5036.6,0.128630993,0.871369007
01/07/2016,5838.3,776,5062.3,0.132915403,0.867084597
01/08/2016,5961.7,786.3,5175.4,0.13189191,0.86810809
01/09/2016,5981.9,776.4,5205.4,0.129791538,0.870191745
01/10/2016,5935.4,742.2,5193.2,0.125046332,0.874953668
01/11/2016,6031.2,759.2,5272.1,0.125878764,0.874137817
01/12/2016,6003.1,775.7,5227.4,0.129216571,0.870783429
01/01/2017,6095.9,789.5,5306.4,0.129513279,0.870486721
01/02/2017,6139.9,794.6,5345.3,0.129415789,0.870584211
01/03/2017,6243.6,809.7,5433.9,0.129684797,0.870315203
01/04/2017,6355.9,874.5,5481.4,0.137588697,0.862411303
01/05/2017,6358.7,827.6,5531.1,0.13015239,0.86984761
01/06/2017,6397.4,898.4,5499,0.140432051,0.859567949
01/07/2017,6436.7,900.7,5536,0.139931953,0.860068047
01/08/2017,6523.3,918.6,5604.8,0.140818297,0.859197032
01/09/2017,6584.1,908.3,5675.8,0.137953555,0.862046445
01/10/2017,6592.2,922.9,5669.4,0.139998786,0.860016383
01/11/2017,6616,906.2,5709.7,0.136970979,0.863013906
01/12/2017,6489.9,903.4,5586.5,0.139200912,0.860799088
01/01/2018,6536.3,907,5629.3,0.138763521,0.861236479
01/02/2018,6571.4,897.9,5673.5,0.136637551,0.863362449
01/03/2018,6636.4,865.9,5770.5,0.130477367,0.869522633
01/04/2018,6683.8,839.9,5843.9,0.125662049,0.874337951
01/05/2018,6794.2,872.7,5921.5,0.128447794,0.871552206
01/06/2018,6696.3,874,5822.3,0.130519839,0.869480161
01/07/2018,6781.3,1000.1,5781.3,0.147479097,0.85253565
01/08/2018,6803,977.5,5825.5,0.143686609,0.856313391
01/09/2018,6887.8,1005.3,5882.5,0.145953715,0.854046285
01/10/2018,6897,972,5925,0.140930839,0.859069161
01/11/2018,7020.4,998.1,6022.2,0.142171386,0.85781437
01/12/2018,6928.6,969.1,5959.6,0.139869526,0.860144907
01/01/2019,6958.7,907.2,6051.5,0.130369178,0.869630822
01/02/2019,6996.2,892,6104.2,0.127497785,0.872502215
01/03/2019,7006.6,826.1,6180.5,0.11790312,0.88209688
01/04/2019,7142.7,867.4,6275.4,0.121438672,0.878575329
01/05/2019,7232,852.9,6379.1,0.117934181,0.882065819
01/06/2019,7174.6,951.8,6222.9,0.132662448,0.86735149
01/07/2019,7264.1,940.2,6323.8,0.129431038,0.870555196
01/08/2019,7368.1,951.4,6416.7,0.129124198,0.870875802
01/09/2019,7428.4,931.5,6496.9,0.125397125,0.874602875
01/10/2019,7601.7,1016.4,6585.4,0.133706934,0.866306221
01/11/2019,7793.7,1078.4,6715.3,0.138368169,0.861631831
01/12/2019,7661.3,1140.6,6520.7,0.148878128,0.851121872
01/01/2020,7687.6,1085.4,6602.2,0.141188407,0.858811593
01/02/2020,7704.7,1012.6,6692.1,0.131426272,0.868573728
01/03/2020,7793.2,1128.7,6664.5,0.144831391,0.855168609
01/04/2020,7803.7,1171.1,6632.6,0.150069839,0.849930161
01/05/2020,7942.6,1372.3,6570.3,0.172777176,0.827222824
01/06/2020,7915.2,1333.8,6581.4,0.168511219,0.831488781
01/07/2020,7999.1,1358.3,6640.9,0.169806603,0.830205898
01/08/2020,8109.7,1369.1,6740.6,0.168822521,0.831177479
01/09/2020,8194.2,1388.2,6806,0.169412511,0.830587489
01/10/2020,8307.1,1391.4,6915.7,0.167495275,0.832504725
01/11/2020,8572.1,1463.1,7109,0.17068163,0.82931837
01/12/2020,8542.8,1520.1,7022.7,0.177939317,0.822060683
01/01/2021,8664.8,1526.2,7138.6,0.176137937,0.823862063
01/02/2021,8732.6,1481.7,7251,0.169674553,0.830336899
01/03/2021,8794,1453.4,7340.6,0.165271776,0.834728224
01/04/2021,8938.9,1533.1,7405.8,0.171508799,0.828491201
01/05/2021,8983.6,1574.2,7409.4,0.17523042,0.82476958
01/06/2021,8937.1,1646.2,7290.8,0.184198454,0.815790357
01/07/2021,8979.4,1631,7348.4,0.181637971,0.818362029
01/08/2021,9033.9,1600,7433.9,0.177110661,0.822889339
01/09/2021,9156.9,1650.8,7506,0.180279352,0.819709727
01/10/2021,9256.7,1531.8,7724.8,0.165480139,0.834509058
01/11/2021,9238.9,1453,7785.8,0.157269805,0.842719371
01/12/2021,9108,1477.5,7630.5,0.162220026,0.837779974
01/01/2022,9188.1,1483,7705.1,0.161404425,0.838595575
01/02/2022,9156.5,1361.5,7795,0.148692186,0.851307814
01/03/2022,9274.9,1391.4,7883.5,0.15001779,0.84998221
